date,traffic,page_name
2018-09-24,390.0,Back to the Future (Japanese Wikipedia)
2018-09-25,472.0,Back to the Future (Japanese Wikipedia)
2018-09-26,416.0,Back to the Future (Japanese Wikipedia)
2018-09-27,379.0,Back to the Future (Japanese Wikipedia)
2018-09-28,328.0,Back to the Future (Japanese Wikipedia)
2018-09-29,527.0,Back to the Future (Japanese Wikipedia)
2018-09-30,483.0,Back to the Future (Japanese Wikipedia)
2018-10-01,402.0,Back to the Future (Japanese Wikipedia)
2018-10-02,387.0,Back to the Future (Japanese Wikipedia)
2018-10-03,358.0,Back to the Future (Japanese Wikipedia)
2018-10-04,411.0,Back to the Future (Japanese Wikipedia)
2018-10-05,428.0,Back to the Future (Japanese Wikipedia)
2018-10-06,347.0,Back to the Future (Japanese Wikipedia)
2018-10-07,393.0,Back to the Future (Japanese Wikipedia)
2018-10-08,402.0,Back to the Future (Japanese Wikipedia)
2018-10-09,360.0,Back to the Future (Japanese Wikipedia)
2018-10-10,471.0,Back to the Future (Japanese Wikipedia)
2018-10-11,397.0,Back to the Future (Japanese Wikipedia)
2018-10-12,332.0,Back to the Future (Japanese Wikipedia)
2018-10-13,393.0,Back to the Future (Japanese Wikipedia)
2018-10-14,317.0,Back to the Future (Japanese Wikipedia)
2018-10-15,447.0,Back to the Future (Japanese Wikipedia)
2018-10-16,356.0,Back to the Future (Japanese Wikipedia)
2018-10-17,411.0,Back to the Future (Japanese Wikipedia)
2018-10-18,413.0,Back to the Future (Japanese Wikipedia)
2018-10-19,542.0,Back to the Future (Japanese Wikipedia)
2018-10-20,702.0,Back to the Future (Japanese Wikipedia)
2018-10-21,411.0,Back to the Future (Japanese Wikipedia)
2018-10-22,563.0,Back to the Future (Japanese Wikipedia)
2018-10-23,552.0,Back to the Future (Japanese Wikipedia)
2018-10-24,407.0,Back to the Future (Japanese Wikipedia)
2018-10-25,489.0,Back to the Future (Japanese Wikipedia)
2018-10-26,408.0,Back to the Future (Japanese Wikipedia)
2018-10-27,310.0,Back to the Future (Japanese Wikipedia)
